Date,Open,High,Low,Close,Volume,Adj Close
2008-03-03,18.02,18.50,16.77,17.50,15459300,16.24
2008-02-01,18.97,19.35,17.75,17.98,13260300,16.68
2008-01-02,20.14,21.01,17.66,18.91,24534800,17.54
2007-12-03,23.23,23.43,19.89,20.47,12201200,18.99
2007-11-01,26.40,26.68,21.77,23.39,20240200,21.70
2007-10-01,26.27,26.92,25.63,26.68,9327000,24.75
2007-09-04,27.67,28.19,25.95,26.20,11225900,24.31
2007-08-01,26.51,28.60,26.03,27.55,12381800,25.56
2007-07-02,26.40,28.50,25.63,26.68,16492900,24.75
2007-06-01,28.80,29.15,25.22,26.24,18001300,24.34
2007-05-01,31.16,31.90,28.03,28.81,15132000,26.73
2007-04-02,31.54,32.30,30.30,31.02,9228800,28.78
2007-03-01,30.20,32.45,28.86,31.36,12966000,29.09
2007-02-01,35.13,35.42,30.24,30.90,10784200,28.67
2007-01-03,35.60,36.61,33.49,34.94,8635100,32.42
2006-12-01,35.25,37.14,34.90,35.42,5455800,32.86
2006-11-01,37.99,40.01,35.16,35.29,8192600,32.74
2006-10-02,34.15,39.50,33.61,37.75,8627800,35.02
2006-09-01,31.61,35.04,30.53,34.05,8194200,31.59
2006-08-01,33.99,33.99,28.72,31.01,11989600,28.77
2006-07-03,37.96,38.33,32.93,34.23,7994100,31.76
2006-06-01,35.49,38.02,34.91,37.76,6046900,35.03
2006-05-01,37.63,39.88,34.60,35.65,7918100,33.07
2006-04-03,37.98,39.50,36.77,37.27,5459000,34.58
2006-03-01,36.33,38.11,34.73,37.63,5098600,34.91
2006-02-01,31.28,36.87,31.14,36.32,6791500,33.70
2006-01-03,30.57,32.32,29.90,31.70,4410800,29.41
2005-12-01,30.34,32.46,29.94,30.01,4481200,27.84
2005-11-01,28.30,32.00,28.07,30.45,5806900,28.25
2005-10-03,50.31,55.25,26.87,28.28,7031700,26.24
2005-09-01,49.80,50.16,46.01,50.10,6704000,23.24
2005-08-01,52.55,52.77,48.00,49.03,5057900,22.74
2005-07-01,51.73,54.39,49.28,52.55,7140300,24.38
2005-06-01,54.92,56.90,51.52,51.66,5501900,23.96
2005-05-02,49.90,55.72,49.20,54.79,6564900,25.42
2005-04-01,52.23,52.38,44.58,49.52,10609100,22.97
2005-03-01,51.89,55.59,50.72,51.66,6383600,23.96
2005-02-01,54.16,54.98,49.14,51.81,8706700,24.03
2005-01-03,63.29,63.34,52.10,54.00,12119800,25.05
2004-12-01,56.33,64.26,56.29,62.36,6022800,28.93
2004-11-01,52.92,57.00,52.60,56.26,6063200,26.10
2004-10-01,45.97,53.25,45.29,52.88,7314000,24.53
2004-09-01,42.99,46.29,42.79,45.46,5226800,21.09
2004-08-02,46.87,47.13,42.05,43.24,7669800,20.06
2004-07-01,44.65,48.40,44.02,46.99,7604900,21.80
2004-06-01,40.70,44.40,40.62,43.49,6077200,20.17
2004-05-03,38.82,41.20,37.03,40.60,6205400,18.83
2004-04-01,38.14,39.91,36.74,38.92,5974400,18.05
2004-03-01,37.89,38.74,36.51,37.87,6473300,17.57
2004-02-02,36.82,39.68,36.00,37.40,7621800,17.35
2004-01-02,33.45,36.81,32.90,36.61,7217800,16.98
2003-12-01,32.08,33.43,31.42,33.16,4838700,15.38
2003-11-03,31.36,33.05,30.00,32.17,5819000,14.92
2003-10-01,29.04,32.00,28.80,31.60,5073600,14.66
2003-09-02,28.09,30.95,28.06,28.80,7880600,13.36
2003-08-01,27.40,28.53,26.00,28.39,5088200,13.17
2003-07-01,24.95,27.77,24.78,27.33,8161600,12.68
2003-06-02,24.56,25.46,23.75,24.55,7069500,11.39
2003-05-01,23.42,24.83,22.80,24.67,9829400,11.44
2003-04-01,25.81,26.87,23.35,23.51,10588300,10.91
2003-03-03,23.62,26.52,22.20,25.76,9391900,11.95
2003-02-03,22.67,23.52,21.60,23.45,8353500,10.88
2003-01-02,20.47,23.30,19.62,22.72,8963600,10.54
2002-12-02,22.00,22.09,20.18,20.38,6944100,9.45
2002-11-01,24.05,24.16,20.85,21.74,7750700,10.08
2002-10-01,20.66,24.10,20.66,23.84,9692200,11.06
2002-09-03,19.99,21.57,19.60,20.66,7485100,9.58
2002-08-01,19.52,21.82,18.47,20.10,7705600,9.32
2002-07-01,24.42,24.96,18.44,19.63,11228600,9.11
2002-06-03,24.30,25.30,22.44,24.85,9265500,11.53
2002-05-01,22.85,24.50,21.93,24.28,8507600,11.26
2002-04-01,23.07,25.70,22.64,22.82,7910900,10.59
2002-03-01,23.56,24.53,22.35,23.13,6709500,10.73
2002-02-01,23.85,23.85,20.82,23.01,6469400,10.67
2002-01-02,19.11,23.88,19.00,23.77,10734400,11.03
2001-12-03,17.63,19.97,17.60,19.05,7328100,8.84
2001-11-01,17.15,19.55,16.68,17.72,9549500,8.22
2001-10-01,14.80,17.95,14.16,17.12,8716500,7.94
2001-09-04,16.86,17.32,13.46,14.94,11820700,6.93
2001-08-01,18.13,19.09,16.80,16.87,8252400,7.83
2001-07-02,22.49,22.90,17.90,18.04,9428900,8.37
2001-06-01,20.00,23.31,18.93,23.00,7377400,10.67
2001-05-01,19.35,21.53,18.00,19.52,9061500,9.05
2001-04-02,42.56,43.56,18.50,19.35,15608600,8.98
2001-03-01,47.50,49.06,38.56,42.44,11218600,9.84
2001-02-01,49.38,51.31,46.25,47.62,9122100,11.05
2001-01-02,43.92,50.06,40.38,49.94,10357000,11.58
2000-12-01,46.25,47.00,41.38,44.25,8988300,10.26
2000-11-01,44.31,50.81,43.00,45.56,12152800,10.57
2000-10-02,40.12,44.88,36.75,44.69,8118000,10.36
2000-09-01,38.25,41.75,35.88,40.06,5676000,9.29
2000-08-01,37.47,44.12,34.56,36.62,8851600,8.49
2000-07-03,38.00,42.75,35.94,37.50,8718800,8.70
2000-06-01,34.12,39.50,32.00,38.19,15427500,8.86
2000-05-01,31.00,35.00,28.00,34.00,9580100,7.89
2000-04-03,40.19,43.50,30.00,30.23,16580500,7.01
2000-03-01,35.12,45.25,32.62,44.81,9494700,10.39
2000-02-01,31.75,36.19,30.38,35.12,10345100,8.15
2000-01-03,23.88,32.00,23.12,32.00,16278300,7.42
1999-12-01,26.56,29.12,23.75,24.25,8142800,5.62
1999-11-01,26.88,31.06,25.88,26.56,10154200,6.16
1999-10-01,24.75,27.62,21.38,27.19,11390400,6.31
1999-09-01,22.94,26.56,20.44,24.78,10176100,5.75
1999-08-02,23.50,24.25,19.88,22.88,11380100,5.31
1999-07-01,24.27,28.38,23.19,23.25,30615700,5.39
1999-06-01,36.88,38.50,33.44,37.56,7269400,8.71
1999-05-03,37.50,41.00,33.56,36.88,7005400,8.55
1999-04-01,28.25,39.00,28.25,36.94,7245200,8.57
1999-03-01,53.38,63.75,27.88,28.06,9075400,6.51
1999-02-01,52.12,54.19,46.38,52.88,8949900,6.13
1999-01-04,55.62,56.00,46.88,52.06,13471100,6.04
1998-12-01,47.06,56.25,47.06,56.12,8353500,6.51
1998-11-02,43.62,49.25,41.00,46.12,11794800,5.35
1998-10-01,35.50,44.25,31.50,43.38,15355600,5.03
1998-09-01,31.88,42.25,28.75,36.19,17080500,4.20
1998-08-03,42.19,43.25,30.88,31.56,16216800,3.66
1998-07-01,53.62,59.94,41.62,41.88,15583000,4.86
1998-06-01,47.62,54.75,46.56,53.44,8499800,6.20
1998-05-01,48.25,49.88,44.50,48.00,6179400,5.57
1998-04-01,45.38,49.00,42.50,48.12,8589500,5.58
1998-03-02,39.56,46.44,38.12,45.31,7296500,5.25
1998-02-02,37.00,40.12,36.00,39.56,8662700,4.59
1998-01-02,38.38,38.62,33.12,36.56,8776400,4.24
